date,time,Kansas City
10/1/2012,13:00,289.98
10/1/2012,14:00,289.9976354
10/1/2012,15:00,290.0381506
10/1/2012,16:00,290.0786658
10/1/2012,17:00,290.1191809
10/1/2012,18:00,290.1596961
10/1/2012,19:00,290.2002113
10/1/2012,20:00,290.2407265
10/1/2012,21:00,290.2812417
10/1/2012,22:00,290.3217569
10/1/2012,23:00,290.3622721
10/2/2012,0:00,290.4027873
10/2/2012,1:00,290.4433025
10/2/2012,2:00,290.4838177
10/2/2012,3:00,290.5243329
10/2/2012,4:00,290.5648481
10/2/2012,5:00,290.6053633
10/2/2012,6:00,290.6458785
10/2/2012,7:00,290.6863936
10/2/2012,8:00,290.7269088
10/2/2012,9:00,290.767424
10/2/2012,10:00,290.8079392
10/2/2012,11:00,290.8484544
10/2/2012,12:00,290.8889696
10/2/2012,13:00,290.9294848
10/2/2012,14:00,290.97
10/2/2012,15:00,292.01
10/2/2012,16:00,292.86
10/2/2012,17:00,294.21
10/2/2012,18:00,296.53
10/2/2012,19:00,296.48
10/2/2012,20:00,296.58
10/2/2012,21:00,296.71
10/2/2012,22:00,297.89
10/2/2012,23:00,296.13
10/3/2012,0:00,295.46
10/3/2012,1:00,295.36
10/3/2012,2:00,294.94
10/3/2012,3:00,293.73
10/3/2012,4:00,292.64
10/3/2012,5:00,291.56
10/3/2012,6:00,290.93
10/3/2012,7:00,290.53
10/3/2012,8:00,289.29
10/3/2012,9:00,288.61
10/3/2012,10:00,288.04
10/3/2012,11:00,287.92
10/3/2012,12:00,286.94
10/3/2012,13:00,287.05
10/3/2012,14:00,288.56
10/3/2012,15:00,289.9933333
10/3/2012,16:00,291.4266667
10/3/2012,17:00,292.86
10/3/2012,18:00,294.31
10/3/2012,19:00,294.89
10/3/2012,20:00,295.47
10/3/2012,21:00,295.41
10/3/2012,22:00,295.985
10/3/2012,23:00,296.56
10/4/2012,0:00,294.9
10/4/2012,1:00,292.77
10/4/2012,2:00,291.48
10/4/2012,3:00,289.16
10/4/2012,4:00,287.16
10/4/2012,5:00,287.86
10/4/2012,6:00,284.72
10/4/2012,7:00,284.48
10/4/2012,8:00,285.54
10/4/2012,9:00,285.14
10/4/2012,10:00,284.7
10/4/2012,11:00,284.54
10/4/2012,12:00,283.84
10/4/2012,13:00,284.74
10/4/2012,14:00,287
10/4/2012,15:00,290.29
10/4/2012,16:00,293.16
10/4/2012,17:00,294.37
10/4/2012,18:00,295.28
10/4/2012,19:00,295.57
10/4/2012,20:00,295.98
10/4/2012,21:00,296.14
10/4/2012,22:00,295.81
10/4/2012,23:00,295.42
10/5/2012,0:00,293.67
10/5/2012,1:00,292.17
10/5/2012,2:00,292.05
10/5/2012,3:00,291.65
10/5/2012,4:00,291.19
10/5/2012,5:00,291.38
10/5/2012,6:00,288.83
10/5/2012,7:00,289.745
10/5/2012,8:00,290.66
10/5/2012,9:00,290.625
10/5/2012,10:00,290.59
10/5/2012,11:00,290.39
10/5/2012,12:00,288.72
10/5/2012,13:00,287.73
10/5/2012,14:00,287.54
10/5/2012,15:00,287.86
10/5/2012,16:00,287.69
10/5/2012,17:00,287.63
10/5/2012,18:00,287.3
10/5/2012,19:00,286.97
10/5/2012,20:00,286.12
10/5/2012,21:00,285.57
10/5/2012,22:00,285.8
10/5/2012,23:00,284.21
10/6/2012,0:00,284.28
10/6/2012,1:00,284.06
10/6/2012,2:00,284.06
10/6/2012,3:00,283.99
10/6/2012,4:00,284.06
10/6/2012,5:00,284.26
10/6/2012,6:00,284.26
10/6/2012,7:00,283.97
10/6/2012,8:00,283.28
10/6/2012,9:00,282.59
10/6/2012,10:00,282.46
10/6/2012,11:00,282.88
10/6/2012,12:00,284.29
10/6/2012,13:00,284.05
10/6/2012,14:00,283.07
10/6/2012,15:00,283.19
10/6/2012,16:00,282.95
10/6/2012,17:00,283.15
10/6/2012,18:00,283.62
10/6/2012,19:00,284.41
10/6/2012,20:00,284.38
10/6/2012,21:00,283.77
10/6/2012,22:00,282.47
10/6/2012,23:00,281.86
10/7/2012,0:00,280.82
10/7/2012,1:00,279.6
10/7/2012,2:00,278.63
10/7/2012,3:00,277.89
10/7/2012,4:00,277.37
10/7/2012,5:00,276.96
10/7/2012,6:00,277.3033333
10/7/2012,7:00,277.6466667
10/7/2012,8:00,277.99
10/7/2012,9:00,278.44
10/7/2012,10:00,278.35
10/7/2012,11:00,278.6
10/7/2012,12:00,278.22
10/7/2012,13:00,278.42
10/7/2012,14:00,279.05
10/7/2012,15:00,279.85
10/7/2012,16:00,280.01
10/7/2012,17:00,280.17
10/7/2012,18:00,280.37
10/7/2012,19:00,280.7
10/7/2012,20:00,280.82
10/7/2012,21:00,280.91
10/7/2012,22:00,281.07
10/7/2012,23:00,280.83
10/8/2012,0:00,280.29
10/8/2012,1:00,279.94
10/8/2012,2:00,279.49
10/8/2012,3:00,278.86
10/8/2012,4:00,278.66
10/8/2012,5:00,278.53
10/8/2012,6:00,278.53
10/8/2012,7:00,277.77
10/8/2012,8:00,275.55
10/8/2012,9:00,274.79
10/8/2012,10:00,274.01
10/8/2012,11:00,273.54
10/8/2012,12:00,272.78
10/8/2012,13:00,273.61
10/8/2012,14:00,275.77
10/8/2012,15:00,280.29
10/8/2012,16:00,282.33
10/8/2012,17:00,282.88
10/8/2012,18:00,284.64
10/8/2012,19:00,285.13
10/8/2012,20:00,285.48
10/8/2012,21:00,285.89
10/8/2012,22:00,285.88
10/8/2012,23:00,285.18
10/9/2012,0:00,283.08
10/9/2012,1:00,281.32
10/9/2012,2:00,280.31
10/9/2012,3:00,279.53
10/9/2012,4:00,279.58
10/9/2012,5:00,279.05
10/9/2012,6:00,278.66
10/9/2012,7:00,277.23
10/9/2012,8:00,277.275
10/9/2012,9:00,277.32
10/9/2012,10:00,277.18
10/9/2012,11:00,276.99
10/9/2012,12:00,276.95
10/9/2012,13:00,277.79
10/9/2012,14:00,280.53
10/9/2012,15:00,285.05
10/9/2012,16:00,286.88
10/9/2012,17:00,287.33
10/9/2012,18:00,288.33
10/9/2012,19:00,289.3
10/9/2012,20:00,289.88
10/9/2012,21:00,290.12
10/9/2012,22:00,290.15
10/9/2012,23:00,289.7
10/10/2012,0:00,286.77
10/10/2012,1:00,285.68
10/10/2012,2:00,285.33
10/10/2012,3:00,285.04
10/10/2012,4:00,284.59
10/10/2012,5:00,284.16
10/10/2012,6:00,284.03
10/10/2012,7:00,283.85
10/10/2012,8:00,282.88
10/10/2012,9:00,282.62
10/10/2012,10:00,282.36
10/10/2012,11:00,282.1
10/10/2012,12:00,283.51
10/10/2012,13:00,284.11
10/10/2012,14:00,285.52
10/10/2012,15:00,286.09
10/10/2012,16:00,288.02
10/10/2012,17:00,290.22
10/10/2012,18:00,291.01
10/10/2012,19:00,290.65
10/10/2012,20:00,290.33
10/10/2012,21:00,288.6
10/10/2012,22:00,289.75
10/10/2012,23:00,290.9
10/11/2012,0:00,290.9
10/11/2012,1:00,290.9
10/11/2012,2:00,290.9
10/11/2012,3:00,290.9
10/11/2012,4:00,290.9
10/11/2012,5:00,285.15
10/11/2012,6:00,279.4
10/11/2012,7:00,278.305
10/11/2012,8:00,277.21
10/11/2012,9:00,277.02
10/11/2012,10:00,276.38
10/11/2012,11:00,275.68
10/11/2012,12:00,275.32
10/11/2012,13:00,275.56
10/11/2012,14:00,279.32
10/11/2012,15:00,281.01
10/11/2012,16:00,282.8825
10/11/2012,17:00,284.755
10/11/2012,18:00,286.6275
10/11/2012,19:00,288.5
10/11/2012,20:00,288.5
10/11/2012,21:00,289.96
10/11/2012,22:00,289.81
10/11/2012,23:00,288.48
10/12/2012,0:00,285.56
10/12/2012,1:00,284.07
10/12/2012,2:00,283.56
10/12/2012,3:00,282.78
10/12/2012,4:00,282.64
